#gene,symbol,ABCC8,APOE,CDC123,CDKAL1,COBLL1,GCKR,GIPR,HNF1A,HNF4A,HTT,IGF2BP2,KCNJ11,SLC16A11,SLC30A8,TCF7L2,TGFB1,TLE4,TMCC,WDR13,WFS1,NumberOfSamples
ENSG00000134463,ECHDC3,1,1,1,1,1,1,1.644,1,0.667,1,1,0.536,1,1,1,1,1,1,1,1,3
ENSG00000134595,SOX3,1,1,1,1,1,1,1,1,57.049,1,1,1,19.618,1,1,1,1,1,40.323,1,3
ENSG00000134602,STK26,1,1,1,1,1,1,1,1,1,1,1,1.749,1,1,1,1.534,1,1,1.792,1,3
ENSG00000134802,SLC43A3,1,1,1,1,1,1,1,1,0.239,1,1,0.484,1,1,1,1,1,1,0.594,1,3
ENSG00000134955,SLC37A2,1,1,1,1,1,1,1,1,2.433,1,1,2.69,1,1,1,1,0.027,1,1,1,3
ENSG00000135040,NAA35,0.668,1,1,0.591,1,1,0.664,1,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000135045,C9orf40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.981,2.065,1,1,1.802,1,3
ENSG00000135116,HRK,1,1,1,2.283,1,1,1,1,3.07,1,1,2.176,1,1,1,1,1,1,1,1,3
ENSG00000135127,BICDL1,1.662,1,1,1,1,1,1.555,1,1,1,1,0.629,1,1,1,1,1,1,1,1,3
ENSG00000135164,DMTF1,0.59,1,1,0.609,1,1,0.627,1,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000135272,MDFIC,1,1,1,1,1,1,1,3.828,7.718,1,1,1,1,1,1,1,1,1,4.185,1,3
ENSG00000135298,ADGRB3,0.497,1,1,1,1,1,1,1,6.342,1,1,1,1,1,1,0.428,1,1,1,1,3
ENSG00000135318,NT5E,1,1,1,1,1,1,1,0.115,0.024,0.499,1,1,1,1,1,1,1,1,1,1,3
ENSG00000135333,EPHA7,1,1,1,1,1,1,0.43,1,3.829,1,1,1,1,1,1,1,1,1,2.402,1,3
ENSG00000135374,ELF5,1,1,1,1,1,1,1,9.777,20.941,1,1,1,1,1,1,1,1,1,8.258,1,3
ENSG00000135407,AVIL,0.34,1,1,1,1,1,1,2.87,1.922,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000135454,B4GALNT1,1,1,1,1,1,1,1,6.785,4.884,1,1,1,2.815,1,1,1,1,1,1,1,3
ENSG00000135473,PAN2,1,1,1,0.645,0.635,1,1,1,1,1,1,1,0.62,1,1,1,1,1,1,1,3
ENSG00000135502,SLC26A10,0.466,1,1,1,1,1,0.417,2.782,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000135773,CAPN9,1,1,1,3.418,1,1,1,4.973,4.343,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000135821,GLUL,1.551,1,1,1,1,1,1,0.649,1,1,1,1,1,1,1.985,1,1,1,1,1,3
ENSG00000135824,RGS8,1,1,1,1,1,1,1,23.219,21.417,1,1,1,21.948,1,1,1,1,1,1,1,3
ENSG00000135837,CEP350,1,1,1,0.566,1,1,1,0.627,0.627,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000136059,VILL,1.555,1,1,1,1,1,1,1.98,1,1,1,1,1,1,1,1,1,0.589,1,1,3
ENSG00000136205,TNS3,1,1,1,1,0.652,1,1,1,0.603,1,1,1,0.615,1,1,1,1,1,1,1,3
ENSG00000136280,CCM2,1.65,1,1,1,1,1,1.649,1,1,1,1,0.516,1,1,1,1,1,1,1,1,3
ENSG00000136297,MMD2,1,1,1,6.424,1,1,1,7.433,1,1,1,3.833,1,1,1,1,1,1,1,1,3
ENSG00000136367,ZFHX2,1,1,1,1,0.648,1,1,1.532,1,1,1,1,0.562,1,1,1,1,1,1,1,3
ENSG00000136688,IL36G,1,1,1,1,1,1,1,0.112,0.025,1,1,1,1,1,1,1,1,1,1,0.298,3
ENSG00000136840,ST6GALNAC4,1,0.604,1,1,1,1,1,1,1,1,1,0.521,1.583,1,1,1,1,1,1,1,3
ENSG00000136856,SLC2A8,1.659,1,1,1,1,1,1.664,1,1,1,1,0.592,1,1,1,1,1,1,1,1,3
ENSG00000136872,ALDOB,1,1,1,1,1,1,1,1,0.003,1,1,5.861,1,1,9.66,1,1,1,1,1,3
ENSG00000136878,USP20,1,1,1,1,1,1,1,1.61,1.803,1,1,0.63,1,1,1,1,1,1,1,1,3
ENSG00000136918,WDR38,1,1,2.324,1,1,1,1,2.198,2.865,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000136982,DSCC1,1,1,1,1,1,1,1,3.914,12.016,1,1,1,1,1,1,1,1,1,5.684,1,3
ENSG00000136997,MYC,1,1,1,1,1,1,1,2.566,3.814,1,1,1,1,1,1,1,1,1,3.688,1,3
ENSG00000136999,CCN3,1,1,2.515,2.791,1,1,1,1,2.828,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000137100,DCTN3,1,1,1,1,1,1,1.652,1.551,1,1,1,0.533,1,1,1,1,1,1,1,1,3
ENSG00000137135,ARHGEF39,1,1,1,1,1,1,1,2.835,3.081,1,1,1,1,1,1,1,1,1,1.785,1,3
ENSG00000137571,SLCO5A1,1,1,1,1,1,1,0.507,2.28,2.06,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000137642,SORL1,1,1,1,1,1,1,1,1,1.803,1,1,1.748,1,1,1,1.648,1,1,1,1,3
ENSG00000137731,FXYD2,1,1,1,1,1,1,1,0.003,0.016,1,1,0.363,1,1,1,1,1,1,1,1,3
ENSG00000137767,SQOR,1,1,1,1,0.621,1,1,0.359,0.205,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000137804,NUSAP1,1,1,1,1,1,1,4.051,3.826,1,1,1,1,1,1,1,3.512,1,1,1,1,3
ENSG00000137880,GCHFR,1,1,1,1,1,1,2.52,1,0.605,1,1,0.411,1,1,1,1,1,1,1,1,3
ENSG00000137960,GIPC2,1,1,1,1,1,1,1,0.321,0.124,1,1,1.73,1,1,1,1,1,1,1,1,3
ENSG00000138061,CYP1B1,1,1,1,1,1,1,1,1,13.931,1,1,1,1,1,6.432,1,1,1,8.709,1,3
ENSG00000138131,LOXL4,1,1,1,1.866,1,1,1,3.39,3.739,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000138182,KIF20B,1,1,1,1,1,1,1,1,1.952,1,1,2.212,1,1,1,1,1,1,2.211,1,3
ENSG00000138336,TET1,0.597,1,1,1,1,1,1,1,1,1,1,2.495,1,1,1,1,1,1,1.935,1,3
ENSG00000138495,COX17,1,1,1,1,1,1,1.612,1,1,1.537,1,0.499,1,1,1,1,1,1,1,1,3
ENSG00000138629,UBL7,1.515,1,1,1,1,1,1.598,1.532,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000138646,HERC5,1,1,1,0.548,1,1,1,1,0.644,1,1,1,1,1,0.62,1,1,1,1,1,3
ENSG00000138650,PCDH10,1,1,1.552,1.583,1,1,1,1,1,1,1,1,1,1,3.747,1,1,1,1,1,3
ENSG00000138756,BMP2K,1,1,1,1,1,1,1,1,1,1,1,2.25,1,1,1,1.994,1,1,1.772,1,3
ENSG00000138769,CDKL2,1,1,1,0.589,1,1,1,0.609,1,0.57,1,1,1,1,1,1,1,1,1,1,3
ENSG00000139144,PIK3C2G,1,1,1,0.331,1,1,1,1,0.397,1,1,1,1,1,1,1,1,0.349,1,1,3
ENSG00000139410,SDSL,1.661,1,1,1.978,1,1,1,1,1,1,1,0.52,1,1,1,1,1,1,1,1,3
ENSG00000139515,PDX1,1,0.426,1,1,1,1,1,1,0.228,1,1,1,1,1,0.434,1,1,1,1,1,3
ENSG00000139540,SLC39A5,1,1,1,1,1,1,1,0.118,0.01,1,1,0.559,1,1,1,1,1,1,1,1,3
ENSG00000139679,LPAR6,1,1,1,1,1,1,1,1,2.759,1,1,4.36,2.694,1,1,1,1,1,1,1,3
ENSG00000139971,ARMH4,1,1.612,1.718,1,1,1,1,1,2.432,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000139985,ADAM21,1,0.367,1,1,0.29,1,1,1,1,0.153,1,1,1,1,1,1,1,1,1,1,3
ENSG00000140022,STON2,1,1,1,1,1,1,1,0.602,0.555,1,1,1,0.545,1,1,1,1,1,1,1,3
ENSG00000140332,TLE3,1,0.509,1,1,1,1,1,1.804,1,0.63,1,1,1,1,1,1,1,1,1,1,3
ENSG00000140416,TPM1,1,1,1,1,1,1,1,1.726,1.692,1,1,1,1,1,1,1,1,1,1.578,1,3
ENSG00000140471,LINS1,1,1,1,0.669,1,1,0.648,0.606,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000140474,ULK3,1.536,1,1,1,1,1,1.566,1,1,1,1,0.621,1,1,1,1,1,1,1,1,3
ENSG00000140511,HAPLN3,1,1,1,1,1,1,1,4.742,3.174,1,1,1,1,1,4.609,1,1,1,1,1,3
ENSG00000140650,PMM2,1,1,1,0.655,1,1,1,0.622,0.634,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000140743,CDR2,1,1,1,1,1,1,1,1,0.654,1,1,1,1,1,1.565,1,1,1.755,1,1,3
ENSG00000140905,GCSH,0.445,1,1,1,1,1,0.513,1,1,1,0.42,1,1,1,1,1,1,1,1,1,3
ENSG00000141294,LRRC46,1,1,2.324,1,1,1,1,2.031,2.578,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000141295,SCRN2,1.603,1,1,1,1,1,1.788,1,1,1,1,0.568,1,1,1,1,1,1,1,1,3
ENSG00000141401,IMPA2,1.594,1,1,1,1,1,1,0.363,0.333,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000141505,ASGR1,1,1,1,1,1,1,2.023,1,0.278,1,1,1,1,1,2.034,1,1,1,1,1,3
ENSG00000141542,RAB40B,1,0.64,1,1,1,1,1,1,1,0.659,1,1,1,1,1,1,1,0.563,1,1,3
ENSG00000141543,EIF4A3,1,1,1,1,1,1,1,1,0.651,1,1,1,1,1,1,0.612,1,1,0.623,1,3
ENSG00000141639,MAPK4,0.456,1,1,1,1,1,1,1,0.311,1,1,1,0.472,1,1,1,1,1,1,1,3
ENSG00000141738,GRB7,1.589,1,1,1,1,1,1.798,1,0.642,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000141959,PFKL,1.551,1,1,1,1,1,1.68,1,1,1,1,0.517,1,1,1,1,1,1,1,1,3
ENSG00000141968,VAV1,1,1,1,1,1,1,1,2.471,1,1,1,1,2.468,1,1,1,1,1,2.28,1,3
ENSG00000142149,HUNK,1,1,1,1.544,1,1,1,0.481,0.488,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000142186,SCYL1,1.614,1,1,1,1,1,1.512,1,1,1,1,0.627,1,1,1,1,1,1,1,1,3
ENSG00000142409,ZNF787,1,1,1,1,1,1,1,2.056,1,1,1,0.415,2.232,1,1,1,1,1,1,1,3
ENSG00000142494,SLC47A1,1,1,1,1,1,1,1,0.291,0.272,1,1,1,1,1,1,3.944,1,1,1,1,3
ENSG00000142541,RPL13A,1.604,1,1,1,1,1,1.72,1,1,1,1,0.649,1,1,1,1,1,1,1,1,3
ENSG00000142611,PRDM16,1,0.499,1,1,1,1,1,1,0.211,0.445,1,1,1,1,1,1,1,1,1,1,3
ENSG00000142661,MYOM3,0.333,1,1,1,1,1,0.245,1,1,1,1,1,1,1,1,0.234,1,1,1,1,3
ENSG00000142798,HSPG2,1,0.554,1,1,1,1,1,3.253,1,1,1,1,1,1,1,1.811,1,1,1,1,3
ENSG00000143443,C1orf56,1.765,1,1,1,1,1,1.757,1,1,1,1,0.586,1,1,1,1,1,1,1,1,3
ENSG00000143774,GUK1,1.619,1,1,1,1,1,2.072,1,1,1,1,0.526,1,1,1,1,1,1,1,1,3
ENSG00000143862,ARL8A,1,1,1,1.549,1,1,1,1,1.581,1,1,0.571,1,1,1,1,1,1,1,1,3
ENSG00000143867,OSR1,1,1,1,7.541,1,1,1,8.196,13.284,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000143891,GALM,1,1,1,1,1,1,1,1,0.562,1,1,1,1,1,1.527,1.534,1,1,1,1,3
ENSG00000143951,WDPCP,0.65,1,1,0.597,1,1,1,1,1,1,1,1,0.66,1,1,1,1,1,1,1,3
ENSG00000144057,ST6GAL2,0.156,1,1,1,1,1,0.051,1,1,1,0.096,1,1,1,1,1,1,1,1,1,3
ENSG00000144061,NPHP1,0.662,1,1,0.602,1,1,1,1,1,1,1,1,1,1,1,0.654,1,1,1,1,3
ENSG00000144355,DLX1,1,1,1,1,1,1,1,1,172.634,1,1,1,1,1,16.55,1,1,1,52.939,1,3
ENSG00000144550,CPNE9,1,1,1,1,1,1,1,1,0.575,1,1,0.613,1,1,1,0.597,1,1,1,1,3
ENSG00000144642,RBMS3,1,1,1,1,1,1,1,1,6.48,0.064,1,1,1,1,1,1,1,1,6.105,1,3
ENSG00000144747,TMF1,1,1,1,0.638,1,1,1,0.6,0.62,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000144837,PLA1A,1,1,1,1,1,1,1,0.102,0.149,1,1,1,1,1,2.141,1,1,1,1,1,3
ENSG00000144893,MED12L,1,1,1,1,1,1,1,0.514,0.498,1,1,1,1,1,1,1,1.708,1,1,1,3
ENSG00000144959,NCEH1,1,1,1,1,0.551,1,1,0.425,0.418,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000145020,AMT,1,1,1,1,0.292,1,0.276,1,1,1,1,1,0.217,1,1,1,1,1,1,1,3
ENSG00000145103,ILDR1,1.55,1,1,1,1,1,1,1,1.497,1,1,1,1,1,1,1,1,1,1,1.664,3
ENSG00000145242,EPHA5,1,1,1,1,1,1,0.178,5.847,14.733,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000145247,OCIAD2,1,1,1,1,1,1,1.509,1,1.523,1,1,0.619,1,1,1,1,1,1,1,1,3
ENSG00000145604,SKP2,1,1,1,1,1,1,1,1,1.552,1,1,1.931,1,1,1,1,1,1,1.603,1,3
ENSG00000145681,HAPLN1,1,1,1,1,1,1,1,1,4.591,1,1,1,1,1,3.476,1,1,1,12.144,1,3
ENSG00000145700,ANKRD31,1,1,1,0.216,1,1,0.483,1,1,1,1,1,1,1,0.257,1,1,1,1,1,3
ENSG00000145708,CRHBP,1,2.726,1,1,1,1,1,1,2.369,1,1,2.609,1,1,1,1,1,1,1,1,3
ENSG00000145912,NHP2,1.725,1,1,1,1,1,1.861,1,1,1,1,0.566,1,1,1,1,1,1,1,1,3
ENSG00000145949,MYLK4,1,1,1,1,1,1,1,1,0.669,1,1,1,0.637,1,1,1,1,1,0.625,1,3
ENSG00000145996,CDKAL1,1,1,1,1,1,1,1,1,0.404,1,1,1,1,1,0.542,0.561,1,1,1,1,3
ENSG00000146066,HIGD2A,1.561,1,1,1,1,1,1.631,1,1,1,1,0.551,1,1,1,1,1,1,1,1,3
ENSG00000146109,ABT1,1,1,1,1,1,1,1.604,1,1,1,1,0.653,1,1,1.529,1,1,1,1,1,3
ENSG00000146112,PPP1R18,1,1,1,1.653,1,1,1,1.859,2.107,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000146205,ANO7,1,0.587,1,1,1,1,1,1.646,1,1,1,1,1,1,1,1,1,0.47,1,1,3
ENSG00000146281,PM20D2,1,1,1,1,1,1,1,0.577,0.638,1,1,1.622,1,1,1,1,1,1,1,1,3
ENSG00000146530,VWDE,1,1,1,0.588,1,1,0.631,1,2.08,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000146540,C7orf50,1,1,1,1,1,1,2.008,1.96,1,1,1,0.39,1,1,1,1,1,1,1,1,3
ENSG00000146670,CDCA5,1,1,1,1,1,1,1,2.348,3.223,1,1,1,1,1,1,1,1,1,1.94,1,3
ENSG00000146776,ATXN7L1,1,1,1,1,1,1,1,1,1.556,1.647,1,1,1,1,1,1.518,1,1,1,1,3
ENSG00000146802,TMEM168,1,1,1,1,1,1,1,0.637,1,1,1,1.571,1,1,1,1.504,1,1,1,1,3
ENSG00000146826,MAP11,1,1,1,1.571,1,1,1,1.52,1,1,1,0.445,1,1,1,1,1,1,1,1,3
ENSG00000146856,AGBL3,1,1,1,1,1,1,1,1,1,1,1,2.105,1,1,1,2.001,1,1,1.884,1,3
ENSG00000146963,LUC7L2,1,1,1,0.62,1,1,0.572,1,1,1,0.661,1,1,1,1,1,1,1,1,1,3
ENSG00000147065,MSN,1,0.594,1,1,1,1,0.57,1,1,1,1,1,1,1,0.57,1,1,1,1,1,3
ENSG00000147180,ZNF711,0.587,1,1,0.565,1,1,1,0.553,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000147256,ARHGAP36,1,1,1,1,1,1,1,1,3.282,1,1,1,8.725,1,1,1,1,6.171,1,1,3
ENSG00000147421,HMBOX1,1,1,1,1,0.658,1,1,1,0.584,1,1,1,0.503,1,1,1,1,1,1,1,3
ENSG00000147459,DOCK5,1,1,1,1,1,1,0.571,1,0.642,1,1,1,1,1,0.539,1,1,1,1,1,3
ENSG00000147509,RGS20,1,1,1,1,1,2.452,1,1,2.837,1,1,4.5,1,1,1,1,1,1,1,1,3
ENSG00000147526,TACC1,1,1,1,1,1,1,0.61,0.356,0.389,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000147655,RSPO2,1,1,1,19.538,1,1,1,1,57.671,1,1,1,1,1,1,1,1,1,14.431,1,3
ENSG00000147804,SLC39A4,1,1,1,6.183,1,1,1,1,1,1,1,1,1,1,11.949,1,1,1,1,0.308,3
ENSG00000147883,CDKN2B,1,1,1,1,1.642,1,1,1,2.208,1,1,1,1.835,1,1,1,1,1,1,1,3
ENSG00000148120,AOPEP,1,1,1,1,1,1,1,1,1,1,1,0.587,1,1,1,0.643,1,1,0.598,1,3
ENSG00000148225,WDR31,1,1,1,0.536,1,1,1,1,0.596,1,1,1,0.655,1,1,1,1,1,1,1,3
ENSG00000148334,PTGES2,1.598,1,1,1,1,1,1.636,1,1,1,1,0.521,1,1,1,1,1,1,1,1,3
ENSG00000148384,INPP5E,1,1,1,1,1,1,1.62,1.575,1,1,1,0.608,1,1,1,1,1,1,1,1,3
ENSG00000148680,HTR7,1,1,1,1,1,1,1,1,6.177,1,1,1,3.483,1,1,1,1,1,5.33,1,3
ENSG00000148737,TCF7L2,0.668,1,1,1,1,1,0.64,1,1,1,1,1,1,1,0.567,1,1,1,1,1,3
ENSG00000148834,GSTO1,1.536,1,1,1,1,1,1,1,1,1.64,1,1,1,1,1.574,1,1,1,1,1,3
ENSG00000148841,ITPRIP,1,1,1,1,1,1,1,2.726,3.75,1,1,1,1,1,1,1,1,1,2.745,1,3
ENSG00000148908,RGS10,1,1,1,1,1,1,1,1,23.641,1,1,1,10.213,1,1,1,1,1,46.484,1,3
ENSG00000149021,SCGB1A1,1,1,1,1,1,1,1,30.842,28.592,1,1,1,1,1,1,23.606,1,1,1,1,3
ENSG00000149289,ZC3H12C,1,1,1,1,1,1,0.568,1,1,0.607,1,1.652,1,1,1,1,1,1,1,1,3
ENSG00000149541,B3GAT3,1.963,1,1,1,1,1,1.953,1,1,1,1,0.532,1,1,1,1,1,1,1,1,3
ENSG00000149634,SPATA25,1,1,1,1,0.441,1,1,1,0.424,1,1,1,0.571,1,1,1,1,1,1,1,3
ENSG00000149761,NUDT22,1.726,1,1,1,1,1,2.027,1,1,1,1,0.524,1,1,1,1,1,1,1,1,3
ENSG00000149806,FAU,1.578,1,1,1,1,1,1.74,1,1,1,1,0.539,1,1,1,1,1,1,1,1,3
ENSG00000149923,PPP4C,1,1,1,1.546,1,1,1.689,1,1,1,1,0.586,1,1,1,1,1,1,1,1,3
ENSG00000149926,TLCD3B,1,1,1,1,1,1,1,3.265,3.217,1,1,0.498,1,1,1,1,1,1,1,1,3
ENSG00000150281,CTF1,1,1,1,1,1,1,1,1.565,1,1,1,0.541,1,1,1,1.651,1,1,1,1,3
ENSG00000150593,PDCD4,0.613,1,0.664,1,0.661,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000150594,ADRA2A,1,1,1,1,1,1,1,11,8.01,0.166,1,1,1,1,1,1,1,1,1,1,3
ENSG00000150760,DOCK1,1,1.536,1,1,1,1,1,0.598,1,1,1,1,1,1,1,1,1.548,1,1,1,3
ENSG00000151364,KCTD14,1,1,1,1,1,1,1,0.452,1,1,1,1,1,1,1,1.505,1,1.504,1,1,3
ENSG00000151553,FAM160B1,1,1,1,1,1,1,0.642,0.668,1,1,1,1.563,1,1,1,1,1,1,1,1,3
ENSG00000151611,MMAA,1,1,1,0.638,1,1,1,0.354,0.494,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000151632,AKR1C2,1,1,0.557,1,1,1,1,0.457,1,1,1,1,1,1,1,1,0.482,1,1,1,3
ENSG00000151882,CCL28,1,1,1,1,0.108,1,0.233,1,1,1,1,1,1,1,1,1,1,1,1,0.226,3
ENSG00000152056,AP1S3,1,1,1,1,1,1,0.626,0.58,0.635,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000152078,TLCD4,1,1,1,1,1,1,1,0.45,0.566,1,1,1.889,1,1,1,1,1,1,1,1,3
ENSG00000152253,SPC25,4.289,3.688,1,1,1,1,1,1,1,1,1,1,1,1,4.009,1,1,1,1,1,3
ENSG00000152254,G6PC2,1,1,1,1,1,1,1,0.163,1,1,1,1,1,1,0.127,1,1,1,0.155,1,3
ENSG00000152433,ZNF547,1,1.503,1,0.448,1,1,1,1,1,1,1,1,1,1,0.662,1,1,1,1,1,3
ENSG00000152454,ZNF256,0.496,1,1,0.548,1,1,1,1,1,0.476,1,1,1,1,1,1,1,1,1,1,3
ENSG00000152495,CAMK4,1,1,1,1,1,1,1,1,6.772,0.22,0.238,1,1,1,1,1,1,1,1,1,3
ENSG00000152518,ZFP36L2,1,1,1,1,1,1,1,1,1,1,1,1.676,1,1,1,1.819,1,1,1.81,1,3
ENSG00000152822,GRM1,1,1,3.664,1,1,1,1,1,4.323,2.911,1,1,1,1,1,1,1,1,1,1,3
ENSG00000152952,PLOD2,1,1,1,1,1,1,1,1,1,0.52,1,2.556,1,1,1,1,1,0.487,1,1,3
ENSG00000153029,MR1,1.565,1,1,1,1,1,1,1,1,1,1,1,1.723,1,1,2.065,1,1,1,1,3
ENSG00000153066,TXNDC11,1.661,1,1,1,1.638,1,1,0.642,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000153292,ADGRF1,0.166,1,1,1,1,1,0.128,1,1,1,1,1,1,1,1,1,1,1,1,37.014,3
ENSG00000153310,CYRIB,0.592,1,1,1,1,1,1,1,1,1,0.608,1,1,1,0.657,1,1,1,1,1,3
ENSG00000153347,FAM81B,1,1,1,1,1,1,1,0.416,1,1,0.667,1,1,1,1.709,1,1,1,1,1,3
ENSG00000153914,SREK1,1,1,1,1,1,1,0.62,1,1,1,1,1.685,0.638,1,1,1,1,1,1,1,3
ENSG00000153956,CACNA2D1,1,1,1,1,1,1,1,0.411,0.398,1,1,1,1,1,0.398,1,1,1,1,1,3
ENSG00000153993,SEMA3D,1,1,1,1,1,1,0.378,1,8.588,1,1,1,1,1,0.402,1,1,1,1,1,3
ENSG00000154146,NRGN,1,1,1,6.532,1,1,1,3.325,6.125,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000154188,ANGPT1,1,1,1,4.648,1,1,1,1,4.02,1,1,1,1,1,1,1,1,1,4.977,1,3
ENSG00000154229,PRKCA,1,1,1,1,1,1,1,0.332,0.197,1,1,1,1,1,1,1,1,1.714,1,1,3
ENSG00000154258,ABCA9,0.274,1,1,1,1,1,0.161,1,1,1,1,1,1,1,1,1,1,1,0.268,1,3
ENSG00000154262,ABCA6,1,1,1,1.847,1,1,0.45,2.3,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000154269,ENPP3,1,0.338,0.145,0.188,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000154277,UCHL1,1,1,1,2.016,1,1,1,2.235,2.313,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000154310,TNIK,1,1,1,1,1,1,0.586,0.496,0.596,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000154415,PPP1R3A,1,1,1,1,1,1,0.05,1,0.072,1,1,4.91,1,1,1,1,1,1,1,1,3
ENSG00000154478,GPR26,1,1,1,1,1,1,1,0.189,0.306,1,1,0.276,1,1,1,1,1,1,1,1,3
ENSG00000154917,RAB6B,1,0.652,1,1,0.632,1,1,1,1,0.669,1,1,1,1,1,1,1,1,1,1,3
ENSG00000155016,CYP2U1,1,1,1,1,1,1,1,0.656,1,1,1,1,1,1,0.646,1,1,0.641,1,1,3
ENSG00000155066,PROM2,1,1,1,1,1,1.58,1,2.58,2.734,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000155090,KLF10,0.469,1,1,1,1,1,1,0.482,1,0.463,1,1,1,1,1,1,1,1,1,1,3
ENSG00000155100,OTUD6B,0.639,1,1,1,1,1,0.649,1,1,1,1,1.633,1,1,1,1,1,1,1,1,3
ENSG00000155304,HSPA13,1,1,1,1,1.616,1.497,1,1,1,1,1,1.945,1,1,1,1,1,1,1,1,3
ENSG00000155666,KDM8,1,1,1,1,1,1,1,1,1,1,1,0.476,1,1,0.662,0.57,1,1,1,1,3
ENSG00000155744,FAM126B,1,1,1,1,1,1,0.62,0.624,1,1,1,1.77,1,1,1,1,1,1,1,1,3
ENSG00000155957,TMBIM4,1,1,1,1,1,1,1,0.573,0.466,1,1,1,1,1,1,1,1,1,0.538,1,3
ENSG00000156313,RPGR,0.642,1,1,1,1,1,0.611,1,1,1,1,1,1,1,1,0.661,1,1,1,1,3
ENSG00000156374,PCGF6,1,1,1,1,1,1,1,0.664,1,0.576,0.578,1,1,1,1,1,1,1,1,1,3
ENSG00000156398,SFXN2,1,1.698,1,1,1,1,1,1,1.708,1,1,1,1,1,1,1,1.914,1,1,1,3
ENSG00000156515,HK1,1,1,1,1,1,1,1,1.776,1.712,1,1,1,1,1,0.637,1,1,1,1,1,3
ENSG00000156587,UBE2L6,1,1,1,1,0.663,1,1,1,0.47,1,1,0.616,1,1,1,1,1,1,1,1,3
ENSG00000156671,SAMD8,1,1,1,1,1,1,0.61,0.592,1,0.644,1,1,1,1,1,1,1,1,1,1,3
ENSG00000156869,FRRS1,1,1,1,1,1,1.51,1,1,0.654,1,1,2.118,1,1,1,1,1,1,1,1,3
ENSG00000156876,SASS6,1,1,1,1,1,1.525,1,1,1,1,1,1.873,1,1,1,1,1,1,1.618,1,3
ENSG00000156920,ADGRG4,1,1,1,1,1,1,1,1,0.003,1,1,1,1,1,1,0.085,1,1,0.076,1,3
ENSG00000156970,BUB1B,1,1,1,1,1,1,1,2.91,5.975,1,1,1,1,1,1,1,1,1,3.535,1,3
ENSG00000157103,SLC6A1,1,1,34.3,1,1,1,1,75.432,65.979,1,1,1,1,1,1,1,1,1,1,1,3
ENSG00000157106,SMG1,1,1,1,1,1,1,1,1,1,1,1,1.701,0.632,1,0.641,1,1,1,1,1,3
ENSG00000157152,SYN2,1,1,1,1,1,1,1,0.555,0.656,1,1,0.524,1,1,1,1,1,1,1,1,3
ENSG00000157214,STEAP2,1,1,1,1,1,1,1,0.228,0.113,1,1,1,1,1,0.471,1,1,1,1,1,3
ENSG00000157326,DHRS4,1.686,1,1,1,1,1,1.875,1,1,1,1,0.393,1,1,1,1,1,1,1,1,3
ENSG00000157330,C1orf158,1,1,2.389,2.817,1,1,1,1,1,1,1,1,1,1,1,1,2.546,1,1,1,3
ENSG00000157445,CACNA2D3,1,1,1,1,1,1,1,7.096,5.072,1,0.296,1,1,1,1,1,1,1,1,1,3
ENSG00000157514,TSC22D3,1,1,1,1,1,1,1,0.367,0.571,1,1,1,1,1,1.679,1,1,1,1,1,3
