#gene,symbol,ABCC8,APOE,CDC123,CDKAL1,COBLL1,GCKR,GIPR,HNF1A,HNF4A,HTT,IGF2BP2,KCNJ11,SLC16A11,SLC30A8,TCF7L2,TGFB1,TLE4,TMCC,WDR13,WFS1,NumberOfSamples
ENSG00000183023,SLC8A1,0.327,0.486,0.363,0.543,0.5,1,0.384,1,0.55,0.355,0.434,0.594,0.249,1,0.512,0.318,0.409,0.372,0.47,1,16
ENSG00000183496,MEX3B,1.595,1.545,2.113,3.228,2.218,1,1.949,3.047,5.81,1.874,1.547,1.612,1.802,1,2.08,1.771,1,1.874,2.246,1,16
ENSG00000183971,NPW,7.008,0.522,5.31,3.014,3.204,0.375,6.259,6.18,23.273,4.412,1,0.172,2.506,1,3.328,3.979,1,1,2.841,1.869,16
ENSG00000198208,RPS6KL1,0.582,0.47,0.383,0.493,0.548,0.66,0.618,2.653,1,1,0.459,0.269,0.562,1,0.453,0.283,0.621,0.622,0.486,1,16
ENSG00000243449,C4orf48,4.684,0.451,4.54,1,3.196,0.437,6.125,6.166,5.944,2,2.418,0.186,5.033,1,3.313,2.736,1,1.818,3.478,1,16
ENSG00000245522,LINC02709,0.297,0.461,0.368,0.436,0.422,1,0.543,1,0.258,0.559,0.512,0.443,0.51,1,0.445,0.241,0.53,0.508,0.515,1,16
ENSG00000248749,AC104063.1,0.085,0.121,0.107,0.042,0.283,1,0.289,1,0.116,0.218,0.176,0.303,0.075,1,0.009,0.148,0.145,0.179,0.159,1,16
ENSG00000253641,LINCR-0001,0.16,0.409,0.127,0.353,0.156,1,0.317,0.383,0.149,0.176,0.373,1,0.159,1,0.115,0.188,0.406,0.35,0.389,1,16
ENSG00000254126,CD8B2,2.951,2.553,2.654,1.87,3.033,1,1,3.188,4.223,1.797,1.951,1,2.691,1.965,7.791,2.161,1,3.365,3.205,2.349,16
ENSG00000261787,TCF24,5.996,2.66,2.237,1,3.323,1,2.205,0.184,0.126,3.503,4.042,2.736,2.769,1,2.283,4.611,2.351,4.852,2.793,1,16
ENSG00000265907,AP000919.1,0.181,0.175,0.274,0.374,0.172,1,0.48,0.42,0.024,0.079,0.556,1,0.127,1,1,0.444,0.322,0.138,0.555,0.414,16
ENSG00000277734,TRAC,0.077,0.088,0.32,0.59,0.193,1,0.433,0.346,0.042,0.108,0.449,1,0.238,1,0.361,0.422,0.346,0.104,0.436,1,16
ENSG00000278266,AC079949.2,0.434,0.4,0.052,1,0.179,2.549,0.183,0.306,0.197,0.179,0.367,1,0.32,1,1,0.229,0.105,0.125,0.448,0.315,16
ENSG00000286481,AC011246.1,0.137,0.434,0.189,0.22,0.469,1,0.545,0.459,0.43,0.199,0.373,1,0.59,1,1,0.275,0.451,0.414,0.385,0.225,16
ENSG00000287633,AL161640.3,0.065,0.185,0.318,1,0.107,1,0.348,0.287,0.039,0.112,0.209,0.207,0.135,1,0.171,0.183,0.248,0.041,0.221,1,16
ENSG00000288658,AC010980.1,3.32,1.791,2.201,2.265,3.112,1,1.945,1,3.489,1.845,1.831,1.677,2.653,1,2.725,2.559,2.098,1.772,1.788,1,16
ENSG00000078053,AMPH,3.586,2.115,4.062,1.734,1,1.574,1.501,4.181,10.423,2.888,2.261,1.581,1.763,1,1,3.264,5.071,1,1.982,1,15
ENSG00000083750,RRAGB,0.008,1,0.135,1,1,0.074,0.113,0.085,1,0.026,0.061,0.01,0.22,0.016,1,0.009,0.013,0.021,0.153,0.085,15
ENSG00000086696,HSD17B2,2.569,2.772,1,2.805,1,0.559,3.718,0.394,0.101,2.738,2.662,3.359,2.375,2.531,11.112,3.782,1,1,1.706,1,15
ENSG00000106153,CHCHD2,0.001,0.572,1.885,0.145,1,0.366,2.009,0.227,1,0.471,0.171,0.022,1,0.499,0.038,0.323,0.508,0.001,1,1,15
ENSG00000108950,FAM20A,3.25,3.419,4.434,2.248,2.112,1,1.951,1.8,1.569,3.365,2.408,1,1.837,1,3.057,3.082,3.451,1.611,1,1,15
ENSG00000111913,RIPOR2,2.441,3.052,2.468,3.236,2.533,1.911,1,4.886,2.738,4.712,1,2.347,2.763,1,11.552,5.529,2.412,1,2.917,1,15
ENSG00000112175,BMP5,2.963,2.557,4.005,2.723,2.469,1,1,1,6.273,1.941,2.399,2.657,2.598,1,4.402,5.276,1.874,3.023,2.463,1,15
ENSG00000113319,RASGRF2,3.05,5.811,4.626,5.29,1.909,1,1,2.31,5.734,2.169,2.629,1,2.742,1,1,3.463,2.038,2.172,2.178,1.925,15
ENSG00000116678,LEPR,4.505,3.731,3.516,1,2.146,1.609,1,0.643,1.531,2.876,1.571,1,2.31,1,2.306,5.344,2.91,2.23,2.276,1,15
ENSG00000125285,SOX21,1,0.491,3.219,2.428,2.325,2.21,0.429,11.069,8.082,1,1,3.978,4.112,0.407,0.074,4.358,1,1,3.817,0.575,15
ENSG00000128342,LIF,0.327,0.242,0.37,1,0.242,1,1.529,2.209,0.491,0.398,1,2.23,0.425,1.829,1.605,1,0.462,0.136,1,0.491,15
ENSG00000132688,NES,1,1,1.961,2.632,1,1,0.501,6.377,9.157,2.527,0.489,1.935,6.813,0.505,1.729,1.953,1,5.382,10.148,3.402,15
ENSG00000132874,SLC14A2,0.362,0.511,0.467,0.561,0.466,0.562,0.482,0.012,0.015,0.275,0.379,1,0.627,1,0.665,0.305,0.393,1,1,1,15
ENSG00000135046,ANXA1,2.259,1,2.662,3.013,8.927,1,1,5.4,5.229,2.476,2.624,2.766,7.062,0.339,3.238,4.98,1,7.863,8.877,1,15
ENSG00000135842,NIBAN1,2.47,2.159,3.179,2.623,3.199,1,0.463,3.368,2.873,3.611,1,1,2.598,1,7.559,3.805,2.939,2.06,3.039,1,15
ENSG00000136002,ARHGEF4,1.902,1.944,2.025,1.61,1.736,1,1.868,4.338,5.702,1.723,1.769,1,1.826,1,1.608,1,1,1.538,1.78,1.61,15
ENSG00000137392,CLPS,0.352,0.307,0.468,1,0.576,1,0.617,1,0.08,0.226,0.288,0.479,0.627,1,0.377,0.146,0.545,0.447,0.63,1,15
ENSG00000139211,AMIGO2,0.357,0.49,0.471,0.482,0.536,1,1,1,0.248,0.539,0.399,0.6,0.508,1,0.223,0.365,0.533,0.502,0.577,1,15
ENSG00000140090,SLC24A4,0.21,0.223,0.179,1,0.373,1,0.471,1,0.414,0.132,1,2.395,0.534,1,0.475,0.356,0.401,0.51,0.443,0.221,15
ENSG00000145358,DDIT4L,0.345,0.452,0.365,1,0.526,1.832,1,0.53,0.297,0.298,0.42,1.911,0.598,1,0.445,1,0.471,0.389,1,0.49,15
ENSG00000146122,DAAM2,3.004,5.355,6.353,2.424,2.774,1,1,2.958,7.235,3.973,2.433,1,2.297,1,1,2.796,4.343,1.802,1.682,2.214,15
ENSG00000149948,HMGA2,0.563,0.517,2.093,2.08,2.333,1,0.557,2.245,8.473,1,0.423,1.907,2.259,1,1.813,1.857,1,1,4.953,1.951,15
ENSG00000151892,GFRA1,2.497,2.128,2.652,2.171,2.042,2.085,1,1,2.388,1.819,1.686,2.208,1,1.599,1,2.208,2.052,2.097,1.659,1,15
ENSG00000152128,TMEM163,0.249,0.245,0.305,0.573,0.234,1,0.44,1,1,0.289,0.206,0.614,0.308,0.552,1,0.329,0.243,0.14,0.397,1,15
ENSG00000159674,SPON2,8.086,1,3.251,2.788,3.653,1,3.326,0.205,0.436,3.318,4.203,1,4.81,1,5.271,5.396,2.579,3.058,2.797,1,15
ENSG00000162745,OLFML2B,2.992,2.497,2.751,3.315,2.089,1,1.675,2.691,2.676,2.954,2.461,1,2.972,1,1,2.163,3.104,2.596,1,1.973,15
ENSG00000162873,KLHDC8A,3.172,6.616,5.686,6.097,3.044,1,2.322,4.617,72.208,5.301,1,1,7.088,1,4.392,3.244,1,2.875,7.869,2.752,15
ENSG00000162975,KCNF1,3.132,2.756,5.978,4.18,3.207,1,3.49,2.246,10.918,2.534,2.752,1,3.883,1,5.19,4.512,3.109,1,2.656,1,15
ENSG00000164932,CTHRC1,1.727,1.586,1.804,1.584,0.448,1,1.994,1,3.139,2.109,1.581,1.93,2.184,1.682,1.918,1,2.003,1,1,0.356,15
ENSG00000165272,AQP3,2.796,1.958,2.876,2.155,1.845,1,1.54,0.615,1,2.492,2.049,1,1.968,1,2.295,2.146,2.152,1.851,1,1.537,15
ENSG00000165644,COMTD1,3.454,1,2.205,2.397,1.934,1,3.197,2.663,2.033,1.953,1.792,0.392,1.962,1,1.981,1.713,1.73,1,1.586,1,15
ENSG00000165973,NELL1,0.243,0.289,1,1,0.549,0.522,0.355,2.661,0.448,0.453,1,0.511,0.446,1,0.221,0.338,0.443,0.416,0.337,1,15
ENSG00000166183,ASPG,0.013,0.211,0.021,1,0.016,0.128,0.047,0.101,1,1,0.008,0.03,0.107,1,1,0.041,0.01,0.093,0.093,0.052,15
ENSG00000166482,MFAP4,0.348,0.593,1,1,0.669,0.489,1,0.641,0.356,1,0.263,0.295,0.269,1,0.278,0.202,0.417,0.484,0.435,1.673,15
ENSG00000166825,ANPEP,1.724,1,0.644,1.696,0.517,0.633,2.299,0.133,0.041,1.951,1,2.042,1,1.545,5.897,2.453,0.621,0.629,1,1,15
ENSG00000169297,NR0B1,2.404,1.637,1.847,1.585,2.716,1,2.473,1.625,2.243,1.762,1.577,0.639,2.318,1,1,1.915,1,1.748,1.641,1,15
ENSG00000173110,HSPA6,6.304,5.331,5.933,5.711,2.283,1,4.066,1,2.131,5.45,3.829,2.383,3.7,1,181.292,5.405,2.916,1,3.846,1,15
ENSG00000173156,RHOD,3.088,1,2.836,3.278,2.698,1,2.365,2.086,3.008,2.512,1.917,1,2.449,1,2.139,2.542,1.647,1.749,1.9,1,15
ENSG00000174021,GNG5,2.839,1,2.938,2.255,2.836,1,2.802,3.152,2.789,1.627,1.861,0.587,2.673,1,1.63,2.397,1,1.808,2.382,1,15
ENSG00000179520,SLC17A8,0.056,0.187,0.423,0.268,0.353,1,0.433,0.339,0.172,1,0.123,0.277,0.21,1,0.006,0.185,1,0.297,0.261,1,15
ENSG00000180875,GREM2,0.222,0.205,0.491,0.269,0.243,1,1,0.619,0.116,0.261,0.424,1,0.248,1,0.521,1,0.585,0.111,0.626,0.586,15
ENSG00000181143,MUC16,6.159,2.047,5.936,1,11.675,1,1,3.653,24.514,4.033,8.306,36.578,16.548,1,2.405,15.018,2.461,11.551,16.034,1,15
ENSG00000183091,NEB,0.394,0.555,1,1,0.624,1,0.366,0.297,0.36,1,0.567,0.586,0.325,0.561,0.5,0.551,1.769,0.349,0.444,1,15
ENSG00000185559,DLK1,0.361,0.14,0.619,0.547,0.485,0.603,0.444,1,1,0.45,0.209,0.18,0.42,1,0.136,0.175,0.375,0.316,1,1,15
ENSG00000186188,FFAR4,4.106,2.692,4.21,1,2.633,1.75,1,4.304,3.592,2.923,2.999,2.387,1,1,5.033,3.986,2.477,2.086,1.702,1,15
ENSG00000186603,HPDL,3.623,1,2.869,2.868,4.167,1,2.04,7.136,3.678,2.47,2.28,2.113,6.88,1,7.083,4.855,1,2.707,4.324,1,15
ENSG00000187688,TRPV2,0.664,0.344,0.344,0.45,0.444,0.563,1,1,0.246,0.409,0.625,0.458,1,1,0.437,0.427,0.445,1,0.631,0.663,15
ENSG00000187720,THSD4,0.384,0.464,0.48,0.462,0.595,1,0.655,1.868,1,1,0.423,0.477,0.411,1,0.287,0.361,0.482,0.62,0.639,1,15
ENSG00000189337,KAZN,1.913,1.837,2.302,2.344,1.846,1,1,3.207,4.204,1.793,1.527,1,1.933,1,1.816,2.103,1.516,1.594,1.581,1,15
ENSG00000196358,NTNG2,0.254,0.446,0.448,0.645,0.616,1,1,2.726,0.545,0.295,0.315,0.296,0.554,1,0.173,0.264,0.417,0.397,1,1,15
ENSG00000197620,EOLA1,0.524,1,0.586,0.562,1,0.59,1,0.573,0.463,0.534,0.541,0.509,0.552,0.556,1,0.464,0.422,1,0.558,0.538,15
ENSG00000224243,SOX1-OT,0.073,0.184,0.139,1,0.162,1.941,0.438,2.223,0.483,1,0.311,1,0.224,1,0.137,0.091,0.273,0.128,0.265,1,15
ENSG00000226454,AL033380.1,0.09,0.125,0.14,0.036,0.094,1,0.358,0.089,0.025,1,0.079,0.092,0.013,1,0.118,0.012,1,0.056,0.151,1,15
ENSG00000237423,LINC01522,0.551,0.499,0.452,0.597,0.489,0.603,0.512,1,0.362,0.532,0.593,0.652,0.497,1,0.341,0.399,0.341,1,1,1,15
ENSG00000238105,GOLGA2P5,2.324,2.771,1.992,2.984,2.267,0.392,1,2.559,1,2.476,2.249,0.335,2.501,1.54,6.349,0.252,1.562,1,1,1,15
ENSG00000243955,GSTA1,3.227,3.209,1.756,1.749,1.859,1,3.22,1.577,1.733,2.754,2.347,3.639,3.338,1,7.47,6.145,1,1,2.111,1,15
ENSG00000244503,AC108751.4,0.246,0.523,0.232,0.249,0.434,0.477,0.53,0.016,0.013,0.327,1,1,0.345,1,0.324,0.178,0.455,1,0.362,1,15
ENSG00000247381,PLUT,0.428,0.437,0.428,0.491,0.419,1,1,0.523,0.156,0.286,0.591,1,0.41,1,0.227,0.3,0.446,0.469,0.473,1,15
ENSG00000253230,MIR124-1HG,0.031,0.134,0.075,0.32,0.011,1,0.188,1,0.335,0.069,0.091,0.252,0.321,1,0.008,0.057,0.111,0.105,1,1,15
ENSG00000253819,LINC01151,0.095,0.146,0.109,1,0.126,1,0.449,0.24,0.053,0.217,0.405,1,0.16,1,0.437,0.177,1,0.146,0.372,0.21,15
ENSG00000254968,LINC02763,0.155,0.296,0.439,0.024,0.276,1,0.589,1,0.354,0.221,0.335,1,0.184,1,1,0.311,0.133,0.213,0.336,0.476,15
ENSG00000269486,ERVK9-11,0.253,1,0.398,0.271,0.323,1.689,0.405,0.09,0.135,0.41,0.359,1,0.257,1,0.293,0.296,1,0.184,0.373,1,15
ENSG00000286046,AC093898.1,0.005,1,1.961,0.375,0.277,0.374,0.204,0.098,1,0.092,0.208,0.489,2.209,1,1,0.105,1,0.037,0.274,0.258,15
ENSG00000004948,CALCR,0.323,0.33,0.589,0.371,0.291,2.247,1,0.003,0.073,0.276,0.387,1.499,0.256,1,0.327,1,1,0.086,1,1,14
ENSG00000047457,CP,0.217,0.117,0.141,0.308,0.154,1,1,0.043,0.013,0.145,1,3.5,0.297,2.505,1,1,0.166,0.132,1,0.399,14
ENSG00000053747,LAMA3,2.441,2.034,1.777,2.187,1,1,1,2.268,3.458,3.447,2.367,2.883,2.036,1,4.735,3.939,2.112,1,1.647,1,14
ENSG00000058866,DGKG,4.304,4.008,3.445,2.655,3.04,1,1,2.084,1.842,3.219,3.385,2.037,2.654,1,1,3.157,3.692,4.397,1,1,14
ENSG00000084207,GSTP1,2.595,1,1.919,2.493,1.62,1,1.846,2.656,2.269,1.794,1.682,1,2.021,1,1.887,1.919,1.51,1,1.669,1,14
ENSG00000086548,CEACAM6,5.099,2.444,7.54,8.141,2.91,1,1,24.665,71.044,3.572,2.616,14.808,8.834,1,1,9.235,3.58,1,5.808,1,14
ENSG00000088386,SLC15A1,2.454,2.674,2.788,2.899,1.697,1.707,1,1,1,1,2.926,2.87,3.326,1,1.51,3.394,2.014,4.058,1.701,1,14
ENSG00000088836,SLC4A11,2.568,2.895,2.761,1.928,2.504,1,2.382,3.29,4.347,3.073,1.888,1,1.745,1,1,2.123,3.103,1,1,2.648,14
ENSG00000102109,PCSK1N,4.218,1,3.153,1.68,2.926,0.389,4.245,2.182,3.389,2.298,1,0.103,3.553,1,2.461,3.064,1,1,2.761,1,14
ENSG00000103254,ANTKMT,3.147,1,2.167,1,2.246,0.632,3.76,2.626,2.715,1.699,1.741,0.275,2.592,1,1.829,1.787,1,1,2.006,1,14
ENSG00000105398,SULT2A1,2.374,3.226,1,2.055,0.456,1,4.059,0.479,0.006,2.545,1.896,3.723,2.042,1,8.951,4.55,1,1,1,0.393,14
ENSG00000105852,PON3,0.151,1,0.095,1,0.194,1,0.173,0.356,1,2.819,2.538,0.492,1,1,2.792,0.08,0.027,2.16,0.208,0.126,14
ENSG00000105894,PTN,3.168,2.094,1.878,3.039,3.03,1,1,1.721,4.394,4.275,1,2.367,7.815,1,5.122,4.164,1,4.425,7.319,1,14
ENSG00000106211,HSPB1,2.925,1,1.849,1.971,1.873,1,1.595,1.745,2.223,1.755,1,0.513,2.411,1,2.787,2.186,1,1.761,2.154,1,14
