Gene,log2FoldChange (FC),abs(FC),P-adjusted
PLAGL1,0.842152987,0.842152987,3.07797E-28
RASGRF2,0.842708472,0.842708472,1.16E-08
DANCR,0.84470801,0.84470801,0.000644855
RP11-499F3.2,0.845224543,0.845224543,3.41782E-05
ENDOV,0.849909027,0.849909027,0.002456728
KCNMB2,0.850473434,0.850473434,1.4038E-32
FRMD5,0.850711594,0.850711594,0.001197631
ST8SIA3,0.851076036,0.851076036,8.31873E-06
MYOM1,0.851170847,0.851170847,9.90788E-06
ZNF84,0.85207757,0.85207757,2.03044E-09
PLXNC1,0.852085075,0.852085075,1.85763E-05
LINC00643,0.852511069,0.852511069,7.80297E-09
CTD-2587M2.1,0.853461495,0.853461495,4.85511E-06
TMEM184A,0.855373063,0.855373063,7.26402E-06
TNR,0.859701213,0.859701213,6.93535E-10
KCNQ1OT1,0.86039362,0.86039362,3.04359E-11
WIPF1,0.86101237,0.86101237,0.002481838
PSMG4,0.862485968,0.862485968,0.001041303
INS-IGF2,0.86272223,0.86272223,0.000774032
AC012307.3,0.862985446,0.862985446,0.00303195
GLP1R,0.864137796,0.864137796,2.10935E-10
RP11-169K16.9,0.866877192,0.866877192,0.0003547
HSD17B14,0.867087811,0.867087811,0.000386353
KIFC2,0.867404477,0.867404477,0.006202304
KCNJ16,0.867597904,0.867597904,2.20466E-06
TRIM52,0.868477199,0.868477199,1.27581E-05
PPFIA3,0.869512856,0.869512856,0.001308776
CHDH,0.869618895,0.869618895,5.18449E-10
CD81,0.870136216,0.870136216,0.000114532
STK32C,0.87021054,0.87021054,2.87151E-05
ARHGAP24,0.871657496,0.871657496,2.04228E-20
SNRNP35,0.871766629,0.871766629,1.05171E-06
KIAA1456,0.872286022,0.872286022,3.3136E-07
FBXL19-AS1,0.874390233,0.874390233,0.001511298
RP11-17A1.3,0.876121421,0.876121421,4.44055E-05
TARDBP,0.87645327,0.87645327,4.54634E-20
P4HTM,0.879385434,0.879385434,9.97416E-08
CHL1,0.882310771,0.882310771,3.64715E-06
CLVS1,0.883039623,0.883039623,1.40911E-05
AC144521.1,0.884611516,0.884611516,1.18313E-05
H1F0,0.885506638,0.885506638,0.007435574
AC093375.1,0.886561305,0.886561305,7.01343E-05
DNAJC3-AS1,0.887905999,0.887905999,0.001839106
CABLES1,0.888000661,0.888000661,1.41631E-06
TMTC2,0.889144448,0.889144448,5.413E-14
ASRGL1,0.889371842,0.889371842,0.000338936
ZNF155,0.89274959,0.89274959,9.43416E-06
AL592494.5,0.893779538,0.893779538,7.81369E-07
RHBDL2,0.894996139,0.894996139,0.008869056
ANKRD65,0.896614679,0.896614679,0.008429684
VWC2L,0.897124304,0.897124304,3.02368E-13
RHOBTB3,0.90024205,0.90024205,5.84776E-43
CXXC4,0.900990488,0.900990488,8.47128E-11
RASGRF1,0.902070672,0.902070672,1.95801E-15
WWC1,0.903869506,0.903869506,0.000242462
PTCHD2,0.906459547,0.906459547,6.93734E-06
SOCS2,0.907513233,0.907513233,3.57053E-05
GPR125,0.907584592,0.907584592,1.85402E-06
SATB2,0.91007805,0.91007805,4.65037E-07
GRAMD1A,0.910126314,0.910126314,0.000257474
CTD-2561J22.3,0.91091168,0.91091168,1.37254E-05
SHISA6,0.913274565,0.913274565,9.6221E-09
NRP1,0.914381936,0.914381936,2.49994E-06
ZNF211,0.914525391,0.914525391,0.007428568
SLC18A2,0.916004315,0.916004315,5.93895E-05
ZNF254,0.917223335,0.917223335,2.11632E-35
AC131097.3,0.917364842,0.917364842,2.53908E-15
LRRC9,0.917787983,0.917787983,4.66162E-07
DGKH,0.918915528,0.918915528,1.13251E-11
CCNG2,0.920632305,0.920632305,0.006259241
ATF7IP2,0.921337762,0.921337762,7.9776E-07
RP1-101K10.6,0.92247164,0.92247164,0.003210045
HIST1H2AC,0.922547259,0.922547259,4.8921E-06
REPIN1,0.922621048,0.922621048,9.82634E-05
RP13-578N3.3,0.924450579,0.924450579,0.00166198
LINC00623,0.927000942,0.927000942,0.006563242
KCNQ3,0.928661545,0.928661545,1.37157E-05
RP11-410L14.2,0.928922743,0.928922743,1.12607E-07
TOB2,0.93033401,0.93033401,2.8226E-06
UFL1-AS1,0.932014711,0.932014711,0.000386353
CTD-2017D11.1,0.934587629,0.934587629,4.77929E-05
WBP2NL,0.934711295,0.934711295,0.005175942
VAV3,0.940251745,0.940251745,8.69137E-24
NAT14,0.942071012,0.942071012,0.002683676
PLAC8,0.944692204,0.944692204,0.007334762
BACE1,0.9452824,0.9452824,2.20105E-09
ZSCAN18,0.946788276,0.946788276,1.61784E-07
FER1L5,0.946928864,0.946928864,0.001777412
SRSF1,0.947317445,0.947317445,9.43963E-10
AC144449.1,0.947587011,0.947587011,3.71414E-05
GUCY1A2,0.947686387,0.947686387,3.47351E-07
MOGS,0.951833319,0.951833319,3.90708E-07
GLRA1,0.952952811,0.952952811,4.54251E-22
CABP7,0.953661727,0.953661727,2.33463E-06
SNRPA,0.955606304,0.955606304,0.008078654
IAPP,0.956551626,0.956551626,0.000224793
EOGT,0.959308828,0.959308828,0.007146489
ARVCF,0.963398756,0.963398756,1.96726E-08
VCPKMT,0.969394579,0.969394579,8.26264E-08
PDE8B,0.971881226,0.971881226,1.31481E-53
NPHS1,0.971955251,0.971955251,2.76344E-10
LPGAT1,0.972198148,0.972198148,1.42354E-26
CDKN2AIPNL,0.972998065,0.972998065,0.002897722
KCNJ3,0.975393962,0.975393962,0.001666056
KB-1047C11.2,0.977307721,0.977307721,0.005682803
KCNK16,0.977376513,0.977376513,1.37593E-08
PQLC1,0.97784919,0.97784919,9.85653E-09
CCDC137,0.978867933,0.978867933,0.001391086
RP11-933H2.4,0.981268077,0.981268077,1.03208E-10
RP5-864K19.4,0.982574663,0.982574663,1.29835E-13
ACVR1C,0.982939984,0.982939984,3.27505E-12
FAM78B,0.985196177,0.985196177,0.00634672
XG,0.986961295,0.986961295,1.66922E-12
RAB31,0.990339921,0.990339921,5.35405E-05
CTD-2540M10.1,0.991208193,0.991208193,9.22826E-07
RP11-18I14.10,0.992660907,0.992660907,0.00030513
SMARCD3,0.992874935,0.992874935,0.002558083
AC006369.2,0.993174264,0.993174264,2.76378E-10
ASB4,0.993279141,0.993279141,0.007422765
C8orf82,0.993899223,0.993899223,0.00552122
RP11-341G5.1,0.994397023,0.994397023,0.002056408
SHC2,0.998794048,0.998794048,1.23019E-06
RUSC1,1.00021507,1.00021507,2.9992E-05
PDX1-AS1,1.002161203,1.002161203,1.58922E-09
PRLR,1.002536258,1.002536258,0.000499883
EYS,1.00339734,1.00339734,1.11067E-16
RNF139-AS1,1.005186767,1.005186767,0.000739881
RP1-309F20.3,1.006714585,1.006714585,4.28197E-09
AF146191.4,1.006782137,1.006782137,0.002508199
EVA1A,1.008691539,1.008691539,8.51573E-07
CTNNA2,1.008958712,1.008958712,7.85997E-26
CTD-2269F5.1,1.010173212,1.010173212,2.03549E-09
AP000487.5,1.015090886,1.015090886,0.000342443
MARVELD3,1.016885156,1.016885156,1.67822E-05
ZDHHC11,1.017880399,1.017880399,0.000441912
SEMA3A,1.019329779,1.019329779,3.72582E-15
EPHB1,1.020012081,1.020012081,2.38171E-08
ZNF720,1.021977723,1.021977723,4.75779E-12
KNDC1,1.023641185,1.023641185,1.48635E-08
RP11-661P17.1,1.025502937,1.025502937,0.000126623
FSTL4,1.025820803,1.025820803,1.94803E-13
RP4-635E18.8,1.026412578,1.026412578,0.001129857
RP11-355I22.2,1.029972076,1.029972076,0.005066116
KLKB1,1.03231009,1.03231009,1.78234E-08
ZNF606,1.038221807,1.038221807,3.19819E-06
CTD-2555K7.2,1.038997956,1.038997956,0.000138657
MOB3B,1.044500065,1.044500065,2.68445E-05
CDKN2B-AS1,1.0466968,1.0466968,9.41913E-05
SLC2A2,1.047847503,1.047847503,1.46464E-12
LINC00680,1.047940421,1.047940421,6.76428E-16
ELMO1,1.04887198,1.04887198,7.98458E-24
SPATA33,1.052222694,1.052222694,0.003269949
METTL24,1.052436408,1.052436408,0.001298168
SLC37A4,1.05416349,1.05416349,0.000538317
ZNF846,1.054487578,1.054487578,3.60781E-07
RP11-400N13.1,1.054677479,1.054677479,3.6394E-07
SCD5,1.054936969,1.054936969,1.58888E-32
ABAT,1.055815099,1.055815099,3.77533E-14
ZNF514,1.057997017,1.057997017,0.00394845
RP11-541P9.3,1.058826637,1.058826637,1.54195E-06
F11,1.059587058,1.059587058,0.004335937
SCTR,1.060300062,1.060300062,1.06903E-17
RP11-123M6.2,1.060963571,1.060963571,4.58881E-09
SLC30A8,1.061135421,1.061135421,3.25593E-47
RP5-827C21.4,1.064598484,1.064598484,4.34144E-05
CFC1,1.065064902,1.065064902,0.000656403
RP11-473M20.14,1.065875818,1.065875818,6.56667E-05
HSPD1P11,1.06730127,1.06730127,1.37052E-07
RP11-727A23.11,1.069058955,1.069058955,0.008214677
CTD-2277K2.1,1.069281122,1.069281122,1.09026E-08
SOX4,1.070772872,1.070772872,5.24326E-06
CTD-2005H7.1,1.073311568,1.073311568,4.8784E-06
TLE2,1.073820378,1.073820378,6.74848E-05
TFP1,1.074064272,1.074064272,0.00154004
C14orf105,1.079446748,1.079446748,2.57954E-06
AC096669.2,1.079717338,1.079717338,1.35659E-14
LIN9,1.080104779,1.080104779,0.004438309
CTB-12O2.1,1.080211069,1.080211069,1.73557E-36
MIPEPP3,1.084536514,1.084536514,0.000228137
ST8SIA1,1.08586662,1.08586662,0.001900276
CTD-2201E18.3,1.086337452,1.086337452,2.65885E-07
FBXO17,1.087957535,1.087957535,1.3303E-07
VIPR1,1.08956811,1.08956811,3.0742E-06
MIR4519,1.091103256,1.091103256,2.41816E-05
THAP2,1.092548991,1.092548991,0.000221792
GNAS-AS1,1.09299296,1.09299296,2.17907E-06
AC003991.3,1.09392019,1.09392019,6.85328E-06
ONECUT2,1.096842687,1.096842687,1.2963E-06
RP11-101E14.2,1.097831966,1.097831966,0.003060425
AC007392.3,1.10053258,1.10053258,0.000534933
MAPK4,1.104031566,1.104031566,3.35108E-05
RP11-644C3.1,1.104383346,1.104383346,0.002415634
AC003006.7,1.104501455,1.104501455,0.000696258
A1CF,1.104813612,1.104813612,1.02191E-14
RPL34-AS1,1.104835882,1.104835882,2.09859E-07
GRM4,1.105353449,1.105353449,0.00013975
RP11-159H10.3,1.106880416,1.106880416,0.002415634
RP11-111F5.4,1.107465631,1.107465631,0.001028252
CAMK2N1,1.108620426,1.108620426,2.01619E-08
AC026188.1,1.111798521,1.111798521,7.22147E-21
ZNF740,1.112130779,1.112130779,0.00103429
SH3RF1,1.116249598,1.116249598,0.002003826
AC140481.7,1.116348225,1.116348225,1.37188E-05
GRIA4,1.116986245,1.116986245,1.97271E-42
GOLGA2B,1.118388585,1.118388585,5.96596E-05
GPR143,1.123508547,1.123508547,0.002982234
PIGA,1.125255595,1.125255595,3.96342E-08
RP11-480A16.1,1.125428801,1.125428801,0.006803492
MIB2,1.128835485,1.128835485,0.000190108
FN3K,1.132734557,1.132734557,1.66593E-05
AL117190.3,1.13415623,1.13415623,0.001209923
PPARGC1A,1.135940121,1.135940121,0.000371977
RP11-686D16.1,1.137386513,1.137386513,0.000492588
RP11-678G14.2,1.137636716,1.137636716,1.36031E-12
KIF12,1.137662386,1.137662386,0.003121035
RP11-112J3.16,1.138365126,1.138365126,2.28431E-07
GPR114,1.138874693,1.138874693,0.000316359
DNAJC4,1.140837345,1.140837345,0.009864998
RP11-489E7.4,1.141334166,1.141334166,0.00111675
C12orf29,1.14373708,1.14373708,5.1354E-06
SYT16,1.146594186,1.146594186,2.42999E-15
TMEM41A,1.149031187,1.149031187,0.000184481
TLN2,1.152236559,1.152236559,9.84207E-07
SIX3,1.153439692,1.153439692,1.92045E-06
GRIN2A,1.15359337,1.15359337,8.42607E-16
BOC,1.158811641,1.158811641,0.000930925
IPCEF1,1.160838665,1.160838665,0.002376218
AC004485.3,1.163869351,1.163869351,1.87532E-05
AGMO,1.167214682,1.167214682,0.001001619
AP006621.5,1.168340006,1.168340006,0.000126863
KSR2,1.170068911,1.170068911,5.2148E-22
RP11-246K15.1,1.170907799,1.170907799,1.56348E-10
GPAM,1.172589786,1.172589786,0.000125343
RP11-8L2.1,1.17340697,1.17340697,4.52098E-15
RP11-368I23.2,1.173600092,1.173600092,3.15389E-06
C9orf16,1.175516096,1.175516096,2.47161E-05
BEST3,1.177219863,1.177219863,1.43161E-08
LRRC37A4P,1.180177336,1.180177336,3.65628E-05
RP11-41O4.1,1.182723337,1.182723337,0.00741449
AC079610.1,1.183761716,1.183761716,8.93406E-09
LINC00847,1.184765418,1.184765418,0.005885353
DGKB,1.185727719,1.185727719,7.24773E-22
RGMB,1.186343035,1.186343035,1.52201E-09
NUDT16,1.189503867,1.189503867,0.000147366
AC093388.3,1.191436829,1.191436829,0.000199094
CCDC173,1.191798636,1.191798636,0.006005678
WDR96,1.192046753,1.192046753,2.46456E-05
AVIL,1.19479637,1.19479637,2.75127E-05
EDN3,1.198365166,1.198365166,3.31272E-21
KCNK17,1.201552479,1.201552479,0.000108152
C14orf39,1.203919857,1.203919857,0.006186081
SULT4A1,1.20582824,1.20582824,0.002823451
LINC00115,1.206443818,1.206443818,0.008487699
RP11-431K24.1,1.208589075,1.208589075,2.13782E-08
DPP7,1.210580389,1.210580389,0.00557701
RP11-162A12.2,1.21090178,1.21090178,2.06216E-07
AP001462.6,1.215499619,1.215499619,0.003569085
RP11-389E17.1,1.216648245,1.216648245,3.31272E-21
CTD-3203P2.2,1.218208957,1.218208957,6.93191E-05
RP11-766N7.3,1.219247655,1.219247655,3.82149E-09
RP11-434D9.1,1.224013964,1.224013964,1.02194E-06
RP11-143A22.1,1.225040254,1.225040254,0.007021707
BTBD16,1.22549221,1.22549221,0.000627557
RP11-830F9.6,1.225743447,1.225743447,0.008204368
AC062017.1,1.226529573,1.226529573,0.00765915
MAF,1.230677984,1.230677984,0.0035472
SH3RF3,1.230935176,1.230935176,0.001460705
CLVS2,1.232335186,1.232335186,4.20267E-05
CNTN3,1.234483077,1.234483077,3.5158E-17
ZNF69,1.235752459,1.235752459,0.000591691
LINC00276,1.239716,1.239716,0.000635047
TIGD1,1.243159497,1.243159497,0.001091422
MEG8,1.245768331,1.245768331,1.13086E-37
RP11-624C23.1,1.246764866,1.246764866,9.04288E-07
RP11-403I13.4,1.249640974,1.249640974,0.004626917
FAM69B,1.249998469,1.249998469,7.09908E-06
RP11-745O10.2,1.250476491,1.250476491,0.00915105
HNF1A-AS1,1.250872249,1.250872249,0.000370646
ZNF776,1.255973492,1.255973492,0.003851334
ADCY1,1.259073002,1.259073002,0.005941047
GAA,1.259288003,1.259288003,3.50384E-05
PYGL,1.265643148,1.265643148,0.005186001
COLGALT2,1.265694995,1.265694995,4.21275E-07
CTSA,1.272842661,1.272842661,0.001524419
AC007228.11,1.276493459,1.276493459,6.28398E-05
RP11-262H14.1,1.276612224,1.276612224,0.004639919
CTB-131B5.5,1.278941727,1.278941727,1.43105E-07
MAFA,1.280239832,1.280239832,2.03882E-11
RP11-524F11.2,1.284793632,1.284793632,0.001717961
SGK223,1.28648489,1.28648489,0.000386077
UNC5C,1.288638476,1.288638476,1.62324E-26
SAMD13,1.290712725,1.290712725,2.45208E-06
C12orf73,1.29149096,1.29149096,2.20442E-07
OGDHL,1.294685921,1.294685921,0.002520688
HAGHL,1.294828218,1.294828218,3.14072E-05
CNIH2,1.295960935,1.295960935,0.000175659
EVA1C,1.303016485,1.303016485,1.63702E-14
KIRREL3,1.305271165,1.305271165,1.03184E-27
RP11-567N4.2,1.311795635,1.311795635,1.20162E-10
CTD-3018O17.3,1.313304987,1.313304987,0.002162383
CTD-2368P22.1,1.316127288,1.316127288,1.35195E-09
FGF14,1.317679966,1.317679966,1.8547E-125
RP11-542G1.1,1.320201644,1.320201644,4.88387E-07
AC084219.4,1.320306183,1.320306183,0.000835797
SNHG10,1.322818102,1.322818102,5.18128E-05
CTB-129P6.11,1.332344661,1.332344661,0.004490197
TMTC4,1.335935072,1.335935072,0.000937466
AL132709.5,1.336826932,1.336826932,1.97271E-42
RP11-554J4.1,1.337971612,1.337971612,0.001567272
AC022182.1,1.341151893,1.341151893,4.0048E-13
SLC25A34,1.351388854,1.351388854,0.000195086
CTD-2314G24.2,1.354507094,1.354507094,7.0121E-09
RP11-811P12.3,1.355875643,1.355875643,1.05708E-11
RP11-111M22.3,1.35712563,1.35712563,0.000686224
FTCD,1.35912985,1.35912985,6.32657E-05
ZDHHC8P1,1.361200583,1.361200583,2.54977E-05
RP11-37C7.3,1.361329479,1.361329479,8.50963E-06
DCX,1.363106304,1.363106304,2.25201E-08
ATP8B5P,1.366066293,1.366066293,1.32478E-10
TUBB2B,1.368310705,1.368310705,0.000469091
RP11-631N16.2,1.36909185,1.36909185,1.26895E-11
C1orf127,1.371236197,1.371236197,5.02446E-18
RP11-909M7.3,1.374955923,1.374955923,2.11632E-35
CHRNA5,1.375083536,1.375083536,1.07985E-05
TM7SF2,1.37566848,1.37566848,0.006306162
MND1,1.376212984,1.376212984,0.002873034
GAD1,1.378925022,1.378925022,5.39907E-08
MEG3,1.382124365,1.382124365,9.39172E-54
FGF14-AS1,1.383943095,1.383943095,0.000431019
PLXNA4,1.387573913,1.387573913,1.85763E-05
LINC00948,1.388077838,1.388077838,6.11193E-06
CTD-2293H3.2,1.393231232,1.393231232,0.000342902
C15orf26,1.399805818,1.399805818,0.002598109
MLIP,1.403966446,1.403966446,3.46678E-05
FGF14-IT1,1.405051887,1.405051887,8.0063E-05
AL132709.8,1.407780485,1.407780485,1.75612E-26
CCL28,1.409968257,1.409968257,0.005494786
RP11-448A19.1,1.410846901,1.410846901,3.01771E-06
RP11-789C1.2,1.414303516,1.414303516,0.000392459
RP5-1050D4.3,1.418389328,1.418389328,0.001685677
GLRB,1.419621325,1.419621325,2.65536E-14
CTD-2287O16.5,1.422320328,1.422320328,0.005333177
RP11-93L9.1,1.42410129,1.42410129,3.37216E-22
RP11-449H11.1,1.429548428,1.429548428,3.34273E-07
CTD-3074O7.5,1.430616787,1.430616787,0.007158234
CTD-3065J16.9,1.434908312,1.434908312,0.006356299
RP11-14N7.2,1.436108254,1.436108254,0.006546756
SNORD113,1.436293482,1.436293482,3.34318E-05
CTA-204B4.2,1.442632497,1.442632497,0.000207942
LINC00616,1.444760539,1.444760539,9.6173E-08
SLC38A4,1.449946219,1.449946219,4.30663E-22
VWA5B2,1.451433299,1.451433299,7.61925E-08
FRMPD1,1.454196569,1.454196569,1.28656E-08
RAD51-AS1,1.454712717,1.454712717,3.25407E-09
TCTE3,1.45948222,1.45948222,2.08148E-06
LINC00284,1.460056634,1.460056634,1.34067E-06
CCDC138,1.465498875,1.465498875,2.10806E-14
XYLT1,1.467077315,1.467077315,2.90749E-05
HIST2H2BE,1.467267924,1.467267924,0.001260364
GCDH,1.470498352,1.470498352,0.000223841
DGKI,1.47219447,1.47219447,6.24475E-25
MTMR9LP,1.477569432,1.477569432,3.82271E-05
RP11-178L8.7,1.481754746,1.481754746,0.000305149
RYR2,1.483885994,1.483885994,5.95121E-49
RP5-890E16.2,1.485397683,1.485397683,0.000964661
IMPG2,1.485924639,1.485924639,2.35695E-08
RP11-49K24.4,1.489794301,1.489794301,0.000854902
AP000351.10,1.49062623,1.49062623,0.000133013
TMEM238,1.490982043,1.490982043,0.000639771
RP11-162G9.1,1.492424414,1.492424414,9.99915E-96
LRRC4C,1.494782909,1.494782909,3.73262E-09
KIAA1614,1.497271511,1.497271511,7.05395E-09
RP11-15A1.2,1.501081405,1.501081405,3.66899E-05
RP11-318A15.2,1.501680405,1.501680405,0.005501194
RP11-38P22.2,1.506018116,1.506018116,5.74966E-05
RP11-215N21.1,1.509760095,1.509760095,1.66467E-30
XXbac-BPG55C20.7,1.511911658,1.511911658,1.98303E-06
RP11-145G20.1,1.512416824,1.512416824,0.004360162
REC8,1.513586343,1.513586343,1.60294E-09
DAPL1,1.513811293,1.513811293,2.76256E-25
TP53INP2,1.515061876,1.515061876,3.66803E-06
RP1-40E16.12,1.516078412,1.516078412,0.002120662
RP11-307C12.12,1.51880679,1.51880679,0.000105438
RP11-327P2.5,1.521068381,1.521068381,1.08691E-07
RP11-146F11.1,1.530659579,1.530659579,0.006202304
SYNM,1.533207638,1.533207638,1.73814E-06
LINC00693,1.535581121,1.535581121,1.8167E-21
NSMF,1.539513301,1.539513301,1.18163E-12
PHACTR3,1.539715029,1.539715029,0.00508923
AP001604.3,1.539834204,1.539834204,0.001551914
HIST1H2BC,1.540594838,1.540594838,0.000655802
LA16c-380H5.5,1.541769287,1.541769287,0.005307609
C10orf112,1.542576594,1.542576594,0.006879026
RFPL2,1.544479708,1.544479708,0.005797995
TSSK3,1.54540874,1.54540874,0.005921838
GH2,1.555760489,1.555760489,2.18693E-40
CBX8,1.557960173,1.557960173,0.00466495
SCN1B,1.563612884,1.563612884,0.000211375
RP3-467N11.1,1.568731538,1.568731538,0.008204368
NPSR1,1.569406739,1.569406739,0.003840488
RP11-196G18.24,1.572062485,1.572062485,0.006847055
FAM20A,1.574655541,1.574655541,3.01651E-12
JAGN1,1.574683779,1.574683779,3.98746E-08
CAPN10-AS1,1.575542009,1.575542009,1.38408E-06
PLCXD2,1.577490664,1.577490664,3.68141E-10
RP11-114G22.1,1.579259461,1.579259461,2.08062E-08
AC093391.2,1.582050573,1.582050573,0.001809619
AC013463.2,1.582054308,1.582054308,8.61556E-10
ZNF584,1.586873252,1.586873252,4.96615E-09
CNTNAP5,1.588922689,1.588922689,4.58881E-09
TMED6,1.588964334,1.588964334,0.000296453
CTD-2319I12.4,1.591378405,1.591378405,0.000388661
CCDC175,1.594736872,1.594736872,6.03604E-07
DAB1,1.5966564,1.5966564,1.12444E-58
CTD-2012K14.6,1.601038798,1.601038798,0.0003418
P2RY1,1.605132057,1.605132057,5.92761E-11
ABHD14A,1.605335114,1.605335114,0.002474429
RP11-484K9.4,1.607689253,1.607689253,0.0030136
FBXL8,1.615615376,1.615615376,6.47508E-05
TIGD7,1.628379978,1.628379978,0.000257846
DLK1,1.630049203,1.630049203,0.001091422
RP11-872J21.3,1.638901095,1.638901095,0.00597669
RP11-212P7.2,1.645823941,1.645823941,4.77987E-05
LINC00669,1.648783678,1.648783678,1.74965E-07
KLHL17,1.649764956,1.649764956,0.000155568
INTS6-AS1,1.650837111,1.650837111,3.53679E-06
TMEM38A,1.654025313,1.654025313,2.94995E-09
RP11-122D10.1,1.654365044,1.654365044,0.006676735
SGCD,1.658076691,1.658076691,1.15108E-09
GPR113,1.663794569,1.663794569,6.98163E-08
HRK,1.677306581,1.677306581,0.005175369
MEG9,1.679537275,1.679537275,1.37407E-20
RP11-441O15.3,1.700495146,1.700495146,4.95936E-07
RGS7BP,1.703932054,1.703932054,1.37161E-12
NRBP2,1.705208302,1.705208302,2.00754E-06
C1orf213,1.708905575,1.708905575,0.002220267
SNHG3,1.723413402,1.723413402,8.7725E-17
ASB9,1.727091468,1.727091468,3.82738E-12
RP11-368J21.3,1.730209263,1.730209263,0.005193576
RP11-1094H24.4,1.730383937,1.730383937,0.008604984
CDK5R2,1.741478239,1.741478239,8.03753E-10
AC091969.1,1.74308748,1.74308748,9.74347E-09
TPPP,1.745809402,1.745809402,0.001926764
RP11-398C13.6,1.750604779,1.750604779,0.000208197
KMT2E-AS1,1.754582659,1.754582659,4.29526E-18
AC007092.1,1.762657472,1.762657472,0.001468033
KIAA1024,1.765806193,1.765806193,5.47745E-07
GPR137C,1.783069705,1.783069705,3.59613E-09
GPSM1,1.784930364,1.784930364,3.31272E-21
AC084018.1,1.785104681,1.785104681,2.31794E-12
TSHR,1.786059896,1.786059896,8.26199E-12
RP11-355I22.7,1.791282123,1.791282123,0.000645179
RP11-16D22.2,1.793699014,1.793699014,5.32638E-13
ASIC2,1.794230704,1.794230704,7.91791E-28
SLC22A17,1.803138552,1.803138552,0.000386353
RP11-312B8.1,1.808241919,1.808241919,0.000535904
KRTAP5-AS1,1.811394023,1.811394023,2.57553E-08
AC013275.2,1.812749225,1.812749225,5.29278E-33
MIR663A,1.817887471,1.817887471,7.4513E-10
ADAMTS6,1.821924014,1.821924014,3.92459E-14
AC079602.1,1.822157323,1.822157323,0.005481671
LINC01023,1.829524101,1.829524101,0.000900236
CCDC71,1.832418002,1.832418002,5.71299E-07
RP11-118B18.1,1.840695507,1.840695507,0.000333516
RP11-678G15.2,1.841458237,1.841458237,0.006945834
RP4-665J23.1,1.849573582,1.849573582,0.000371977
RP5-1033H22.2,1.859252149,1.859252149,6.0346E-17
COLCA1,1.862643497,1.862643497,0.000946492
CKB,1.864197634,1.864197634,2.25687E-06
SNORA76,1.865183882,1.865183882,0.000560122
RP5-1092A3.4,1.882388524,1.882388524,0.002332335
RP11-638I2.4,1.883662757,1.883662757,4.73326E-18
CECR3,1.89431046,1.89431046,0.003215927
UST,1.894740166,1.894740166,0.00048233
EBF4,1.899729177,1.899729177,5.75725E-07
AC010967.2,1.902069178,1.902069178,2.58422E-17
RP11-548L20.1,1.903835715,1.903835715,0.00037883
RP11-81A22.5,1.905224313,1.905224313,0.000549761
SGOL1-AS1,1.907649233,1.907649233,2.24552E-07
CTB-31O20.2,1.910041123,1.910041123,1.08352E-08
ADAMTS5,1.913104507,1.913104507,5.7783E-07
AC002310.12,1.914510039,1.914510039,0.001528657
ADRA2A,1.915497691,1.915497691,2.43531E-07
WNK4,1.926180159,1.926180159,0.00334603
AC004540.4,1.928868512,1.928868512,0.003498115
TMPRSS15,1.931636957,1.931636957,0.00734752
AC109826.1,1.952758945,1.952758945,0.003230832
REM2,1.95730487,1.95730487,7.87667E-06
TRPM5,1.97343697,1.97343697,0.008387269
PDE1C,1.973744962,1.973744962,0.004756958
KB-226F1.1,1.976276284,1.976276284,0.00213217
ATP8A2,1.979684802,1.979684802,1.92698E-13
AC144652.1,1.989308259,1.989308259,0.007466903
GCGR,2.006062679,2.006062679,1.56449E-13
TOB1-AS1,2.007554543,2.007554543,1.83175E-06
RP11-89K21.1,2.01010628,2.01010628,3.47351E-07
HIF3A,2.0379263,2.0379263,0.000768948
SMAD6,2.043173705,2.043173705,1.42246E-05
IL21R-AS1,2.04817551,2.04817551,5.81973E-06
KIAA1644,2.050232317,2.050232317,0.000387809
CTB-58E17.1,2.056764047,2.056764047,7.64174E-05
HSD17B1,2.062706275,2.062706275,4.67349E-07
GALR1,2.066571281,2.066571281,0.002324472
NPSR1-AS1,2.069159277,2.069159277,6.18282E-27
C17orf70,2.075231142,2.075231142,0.004468803
NMUR2,2.078283529,2.078283529,0.008039915
RP11-1191J2.5,2.095611616,2.095611616,0.000467202
RP5-855D21.3,2.098661037,2.098661037,1.27603E-05
HIST1H4E,2.099029888,2.099029888,3.4087E-10
RP11-386I14.4,2.103172379,2.103172379,0.000276731
RP11-77P6.2,2.103696826,2.103696826,6.86416E-05
ACAN,2.104471309,2.104471309,8.82981E-09
RP11-430G17.3,2.108926498,2.108926498,6.21652E-07
CTD-3184A7.4,2.114503412,2.114503412,1.42048E-11
NTM,2.116865957,2.116865957,1.05668E-15
hsa-mir-7162,2.140150201,2.140150201,0.003919381
RP11-355I22.5,2.148872786,2.148872786,0.008387269
AC069513.4,2.149352356,2.149352356,0.008339928
AC097468.4,2.181773153,2.181773153,9.21182E-10
RP11-355I22.6,2.182505512,2.182505512,0.000382756
ATP2B2,2.185438279,2.185438279,0.003672656
RP13-1032I1.7,2.188151907,2.188151907,2.84779E-11
PAN3-AS1,2.194933094,2.194933094,4.23588E-06
RP11-1020A11.1,2.195138576,2.195138576,0.000339545
ARHGAP15,2.213271777,2.213271777,1.61428E-08
RP11-533E19.7,2.216739476,2.216739476,0.000187523
CTD-2203A3.1,2.228116063,2.228116063,0.003232913
