Gene,log2FoldChange (FC),abs(FC),P-adjusted
TNPO1,-0.385253099,0.385253099,2.33735E-05
IGF1R,-0.385071242,0.385071242,1.25524E-05
ZCCHC14,-0.385033245,0.385033245,0.000253494
TIPARP,-0.38501583,0.38501583,0.006220235
AP2B1,-0.384563975,0.384563975,3.56536E-07
RBCK1,-0.384093422,0.384093422,0.005488688
RNF216,-0.38279761,0.38279761,0.000755824
IREB2,-0.382432702,0.382432702,0.000126623
C10orf68,-0.381685142,0.381685142,0.003554888
HDAC8,-0.38072732,0.38072732,1.14057E-06
BMS1,-0.38064741,0.38064741,0.005771858
ERP44,-0.379871976,0.379871976,4.01286E-06
RTN4,-0.37719902,0.37719902,4.74137E-10
SCYL2,-0.376089409,0.376089409,0.00760314
PACS1,-0.375744548,0.375744548,0.001896904
MARK2,-0.374506147,0.374506147,0.008019404
PCNXL2,-0.37386314,0.37386314,1.8241E-11
LMTK2,-0.373087353,0.373087353,4.87216E-05
DCP1B,-0.372663242,0.372663242,0.00797674
TXNL1,-0.370801822,0.370801822,0.000170274
CEP170,-0.370036563,0.370036563,3.62467E-05
MMS19,-0.369860482,0.369860482,0.00525116
ABI1,-0.369291337,0.369291337,0.0026883
HERC3,-0.368862829,0.368862829,0.000340923
PHTF1,-0.367960085,0.367960085,0.007582223
NBAS,-0.367795819,0.367795819,0.000245283
GALNT11,-0.367757174,0.367757174,0.000324637
GLS,-0.367454697,0.367454697,7.85591E-08
RNF13,-0.366619952,0.366619952,1.45486E-05
USP33,-0.366175349,0.366175349,0.000136131
NTN1,-0.365974717,0.365974717,6.43244E-05
YLPM1,-0.36556633,0.36556633,0.00765915
ROCK2,-0.365457504,0.365457504,0.001136742
NSL1,-0.365305102,0.365305102,0.006627631
NARG2,-0.364443309,0.364443309,0.004596544
YWHAZ,-0.363786264,0.363786264,6.82972E-07
IQCB1,-0.361755651,0.361755651,0.003058217
TPST1,-0.360494411,0.360494411,0.001741135
SNX24,-0.360424124,0.360424124,0.000793536
HIF1A,-0.359540501,0.359540501,3.26874E-05
GLG1,-0.359530049,0.359530049,0.00013275
PPL,-0.358449046,0.358449046,0.002069181
RHOT1,-0.358438844,0.358438844,0.001860766
MAP7,-0.357845503,0.357845503,2.11484E-06
ABHD2,-0.357696693,0.357696693,0.000581816
SLC23A2,-0.357658503,0.357658503,0.001567807
ORMDL1,-0.357593008,0.357593008,0.002648201
USP47,-0.35664764,0.35664764,8.0406E-06
ATXN1,-0.356546004,0.356546004,6.47508E-05
GTF2A1,-0.356238104,0.356238104,0.007135069
GOLGA3,-0.3559049,0.3559049,0.008088153
DMXL1,-0.355831243,0.355831243,1.87117E-06
INTS4,-0.355824091,0.355824091,0.009376664
PLCH1,-0.354983604,0.354983604,0.004993957
FAM214A,-0.354968936,0.354968936,1.40262E-05
AP1G1,-0.354240902,0.354240902,0.000211269
BCKDHB,-0.353940765,0.353940765,0.001308776
UBA6,-0.35336541,0.35336541,0.00061765
FOCAD,-0.35161662,0.35161662,2.22744E-07
UBE2Q2P1,-0.351396947,0.351396947,0.009376664
PGAP1,-0.350256577,0.350256577,0.001091422
CELF4,-0.35004527,0.35004527,0.001310517
NCKAP1,-0.349639567,0.349639567,6.43257E-07
NUP88,-0.349159695,0.349159695,0.005639637
GTF2F2,-0.348631528,0.348631528,0.005008492
NFAT5,-0.347274922,0.347274922,5.71299E-07
TTC3,-0.345516248,0.345516248,2.64039E-05
NALCN,-0.344493667,0.344493667,0.000364093
ITGB1,-0.343406357,0.343406357,0.002137869
PHACTR4,-0.342576983,0.342576983,0.00199903
BBS9,-0.34253731,0.34253731,3.55427E-05
PIK3R3,-0.342078302,0.342078302,0.002251955
TOM1L2,-0.340531936,0.340531936,0.000148639
TAF3,-0.339939732,0.339939732,0.003175833
MAPKAP1,-0.339893139,0.339893139,3.1868E-05
PTGES3,-0.339193775,0.339193775,0.003559695
NPTN,-0.338633308,0.338633308,0.007052166
SIK3,-0.337691817,0.337691817,1.41631E-06
SGMS1,-0.33712594,0.33712594,3.01654E-05
HTT,-0.336738116,0.336738116,0.000382756
VPS53,-0.336284714,0.336284714,0.000250089
GABRB3,-0.335743506,0.335743506,2.77888E-07
AFTPH,-0.333593215,0.333593215,0.003666638
TTC39C,-0.33296599,0.33296599,0.004076719
STRN3,-0.332450607,0.332450607,0.000103152
NT5C2,-0.33216213,0.33216213,7.16592E-05
MTPN,-0.331891121,0.331891121,0.006745902
SMG6,-0.331556921,0.331556921,0.002063342
GNAQ,-0.330862402,0.330862402,2.09611E-05
LONP2,-0.329748769,0.329748769,9.73286E-07
PTPN13,-0.329101203,0.329101203,0.00101175
ASXL1,-0.328600602,0.328600602,0.000276329
RAB12,-0.327407618,0.327407618,0.003835004
TBL1X,-0.326221914,0.326221914,0.002125173
NAPG,-0.326070575,0.326070575,0.003782479
ZFAND3,-0.325326616,0.325326616,7.81773E-07
CWC27,-0.323933279,0.323933279,0.005337713
PDHX,-0.32379547,0.32379547,0.002193444
SNX29,-0.322874515,0.322874515,0.000177859
PRKAR2A,-0.32178322,0.32178322,0.004657579
ANXA7,-0.321635728,0.321635728,0.000296376
FAM120B,-0.321588078,0.321588078,0.000357064
MALAT1,-0.321431731,0.321431731,1.12048E-06
EXOC4,-0.320295582,0.320295582,5.54764E-08
PTBP3,-0.320050694,0.320050694,0.00056027
RHEB,-0.319522877,0.319522877,0.009890123
YWHAQ,-0.318705843,0.318705843,0.000326682
ZFR,-0.318323167,0.318323167,0.002779822
KPNA3,-0.318180362,0.318180362,0.005413846
KIAA0556,-0.316987539,0.316987539,0.004735448
SMG7,-0.315078497,0.315078497,0.00103429
SETX,-0.314080552,0.314080552,0.000858915
PAPD4,-0.313657456,0.313657456,0.000118021
RTCB,-0.313471478,0.313471478,0.006597866
CAB39,-0.313229906,0.313229906,0.007516389
ATP2A2,-0.312216283,0.312216283,0.000543784
PTK2,-0.311966406,0.311966406,6.18124E-09
SYNRG,-0.311722541,0.311722541,0.003160242
ANKRD10,-0.311534166,0.311534166,0.001049484
VPS13D,-0.310671503,0.310671503,0.002386252
WNK1,-0.310172812,0.310172812,0.00122102
SPG7,-0.30888704,0.30888704,0.000500376
H2AFY,-0.308752555,0.308752555,0.002987552
DISP1,-0.308383768,0.308383768,0.004796379
KIF2A,-0.306124813,0.306124813,0.005363611
PAFAH1B1,-0.305955652,0.305955652,3.02838E-05
GIGYF2,-0.305617938,0.305617938,3.32633E-05
PNPLA8,-0.303966922,0.303966922,0.009182448
VOPP1,-0.303092277,0.303092277,0.001427758
TJP1,-0.302402964,0.302402964,0.007082892
SLC30A7,-0.301894245,0.301894245,0.007939082
PAPOLA,-0.301696126,0.301696126,0.002398393
GPCPD1,-0.299934241,0.299934241,0.009359313
ZRANB3,-0.299261924,0.299261924,0.002555025
TAOK3,-0.296664139,0.296664139,0.005062578
AFF1,-0.296198201,0.296198201,0.00080854
MAP2K5,-0.295488384,0.295488384,0.008185157
AGPS,-0.295068855,0.295068855,0.006829385
KIAA1244,-0.294345292,0.294345292,6.22209E-05
RBPJ,-0.292836823,0.292836823,0.003848828
TMEM65,-0.291564234,0.291564234,0.002180314
AHI1,-0.291447493,0.291447493,2.39381E-07
CLCN3,-0.291045066,0.291045066,0.000322423
DIP2B,-0.290290344,0.290290344,0.000356598
ITFG1,-0.289483106,0.289483106,4.25243E-05
XPO1,-0.288926236,0.288926236,0.002010971
PTPRM,-0.288798982,0.288798982,0.000422244
GPATCH8,-0.288485462,0.288485462,0.000287211
PPP2R5E,-0.287817879,0.287817879,0.00405685
SCAF8,-0.287629712,0.287629712,0.001357348
BRE,-0.287615546,0.287615546,0.009557608
MAN1A2,-0.286429387,0.286429387,0.000309667
TRIO,-0.286283102,0.286283102,0.000198865
TRPC4AP,-0.285830489,0.285830489,0.001843772
SH3PXD2A,-0.284458019,0.284458019,0.005957491
TIAM2,-0.284216876,0.284216876,0.00301582
CSNK1A1,-0.284188655,0.284188655,0.000242462
MAPRE2,-0.283448373,0.283448373,0.000896239
ZEB1,-0.282876669,0.282876669,0.00277442
PDE8A,-0.281870668,0.281870668,0.00912495
C1GALT1,-0.281585915,0.281585915,0.001803639
OPA1,-0.281553793,0.281553793,0.003518841
CRTC3,-0.281245154,0.281245154,0.007596426
